N | ID2_X ID2_Y ID2_Z ID2_Rx ID2_Ry ID2_Rz ID2_D | ID1_X ID1_Y ID1_Z ID1_Rx ID1_Ry ID1_Rz ID1_D
 0 |   150.4   -33.4    93.9   -1.6  -10.0    0.1   180.5 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 1 |   150.3   -33.5    93.5   -1.6  -10.0    0.1   180.2 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 2 |   150.3   -33.5    94.2   -1.6  -10.0    0.1   180.5 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 3 |   150.4   -33.5    94.0   -1.6  -10.0    0.1   180.5 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 4 |   150.4   -33.5    93.8   -1.6  -10.0    0.1   180.4 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 5 |   150.4   -33.4    94.1   -1.6  -10.0    0.1   180.6 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 6 |   150.4   -33.4    94.0   -1.6  -10.0    0.1   180.5 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 7 |   150.4   -33.5    93.4   -1.6  -10.0    0.1   180.2 |  -119.0    -4.4    12.1   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 8 |   150.4   -33.3    93.9   -1.7  -10.0    0.1   180.4 |  -119.0    -4.4    12.0   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
 9 |   150.3   -33.4    93.3   -1.7  -10.0    0.1   180.1 |  -119.0    -4.4    12.0   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
10 |   150.4   -33.5    93.5   -1.7  -10.0    0.1   180.2 |  -119.0    -4.4    12.0   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
11 |   150.4   -33.4    93.5   -1.7   -9.9    0.1   180.2 |  -119.0    -4.4    12.0   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
12 |   147.3   -30.7   111.0   -1.2  -12.0   -0.1   187.0 |  -119.9    -3.7     2.3   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
13 |   147.2   -30.8   110.7   -1.2  -12.0   -0.1   186.8 |  -119.9    -3.7     2.3   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
14 |   147.3   -30.8   110.7   -1.2  -12.0   -0.1   186.8 |  -119.9    -3.7     2.3   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
15 |   147.3   -30.9   110.0   -1.2  -11.9   -0.1   186.4 |  -119.9    -3.7     2.3   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
16 |   147.2   -30.9   109.8   -1.2  -11.9   -0.1   186.2 |  -119.9    -3.7     2.3   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
17 |   147.2   -30.7   111.0   -1.2  -11.9   -0.1   186.9 |  -119.9    -3.7     2.3   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
18 |   147.2   -30.9   110.3   -1.2  -12.0   -0.1   186.5 |  -119.9    -3.7     2.2   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
19 |   147.2   -30.9   110.0   -1.2  -12.0   -0.1   186.4 |  -119.9    -3.7     2.2   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
20 |   147.1   -30.9   110.1   -1.2  -12.0   -0.1   186.4 |  -119.9    -3.7     2.2   120.0 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
21 |   149.7   -34.0   118.9   -1.1  -11.5    0.1   194.2 |  -119.6    -3.9     4.7   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
22 |   149.8   -34.0   119.0   -1.1  -11.5    0.1   194.3 |  -119.6    -3.9     4.7   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
23 |   149.7   -34.0   118.8   -1.1  -11.5    0.1   194.1 |  -119.6    -3.9     4.8   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
24 |   149.8   -34.0   118.9   -1.1  -11.5    0.1   194.2 |  -119.6    -3.9     4.8   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
25 |   150.0   -33.8   119.6   -1.1  -11.5    0.2   194.8 |  -119.6    -3.9     4.9   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
26 |   149.9   -33.9   119.3   -1.1  -11.5    0.2   194.5 |  -119.6    -3.9     4.9   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
27 |   149.9   -34.0   119.2   -1.1  -11.5    0.2   194.5 |  -119.6    -3.9     4.9   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
28 |   149.8   -34.0   119.0   -1.1  -11.5    0.2   194.3 |  -119.6    -3.9     4.9   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
29 |   149.8   -33.9   119.0   -1.1  -11.5    0.2   194.3 |  -119.6    -3.9     4.9   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
30 |   149.7   -33.9   119.0   -1.1  -11.5    0.2   194.3 |  -119.6    -3.9     4.8   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
31 |   149.6   -34.1   118.5   -1.1  -11.5    0.1   193.9 |  -119.6    -3.9     4.8   119.7 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
32 |   148.6   -34.2   105.3   -1.4  -12.2   -0.1   185.3 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
33 |   148.5   -34.2   105.3   -1.4  -12.2   -0.1   185.2 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
34 |   148.5   -34.2   105.2   -1.4  -12.2   -0.1   185.2 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
35 |   148.7   -34.0   105.7   -1.4  -12.2   -0.1   185.6 |  -120.1    -4.7     2.2   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
36 |   148.7   -34.1   105.4   -1.4  -12.2   -0.1   185.4 |  -120.1    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
37 |   148.5   -34.3   104.8   -1.4  -12.2   -0.1   185.0 |  -120.1    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
38 |   148.5   -34.3   104.9   -1.4  -12.2   -0.1   185.0 |  -120.1    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
39 |   148.6   -34.0   105.6   -1.4  -12.2   -0.1   185.4 |  -120.0    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
40 |   148.5   -34.3   104.7   -1.4  -12.2   -0.1   184.9 |  -120.0    -4.7     2.3   120.2 | ref01:   0.0 cur01:   0.0 sf:1.0000 dCAM:  0.0
